date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:55	2631/-1	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Dec%202012%2012:38:48%20GMT	http://www.attackplanner.com/robots.txt		(from )
14:38:55	4577/4577	---M--	200	added ('OK')	text/html	etag:%2247b0100-11e1-4ca12ac03e0c0%22	http://www.attackplanner.com/	C:/.attackplanner/www.attackplanner.com/index.html	(from )
14:38:55	20898/20898	---M--	200	added ('OK')	text/css	etag:%222235118553%22	http://en63.tribalwars.net/css//game/oldstyle.css?1345023673	C:/.attackplanner/en63.tribalwars.net/css_/game/oldstyle52d0.css	(from )
14:38:55	33172/33172	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Aug%202012%2014:43:39%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/jquery-ui.css	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/jquery-ui.css	(from )
14:38:57	8189/8189	---M--	200	added ('OK')	text/javascript	etag:%2247b0101-1ffd-4ca12ac8d3500%22	http://www.attackplanner.com/plan.js	C:/.attackplanner/www.attackplanner.com/plan.js	(from )
14:39:05	58570/58570	---M--	200	added ('OK')	text/javascript	etag:%2247b00b6-e4ca-4c9d40dd2a140%22	http://www.attackplanner.com/jquery-ui-timepicker-addon.js	C:/.attackplanner/www.attackplanner.com/jquery-ui-timepicker-addon.js	(from )
14:39:06	1873/1873	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Oct%202012%2010:03:32%20GMT	http://cdn2.tribalwars.net/graphic/background/content.jpg?16187	C:/.attackplanner/cdn2.tribalwars.net/graphic/background/content3bcd.jpg	(from http://www.attackplanner.com/)
14:39:08	7979/7979	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Nov%202012%2011:38:21%20GMT	http://cdn2.tribalwars.net/graphic/icons/header_old.png?307f1	C:/.attackplanner/cdn2.tribalwars.net/graphic/icons/header_old814d.png	(from http://www.attackplanner.com/)
14:39:08	216/216	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Oct%202012%2010:04:43%20GMT	http://cdn2.tribalwars.net/graphic/dots/green.png?a2f66	C:/.attackplanner/cdn2.tribalwars.net/graphic/dots/green3d86.png	(from http://www.attackplanner.com/)
14:39:08	68638/68638	---M--	200	added ('OK')	image/png	etag:%2247b00fb-10c1e-4ca11aad23400%22	http://www.attackplanner.com/your-ad-here.png	C:/.attackplanner/www.attackplanner.com/your-ad-here.png	(from )
14:39:08	178/178	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202012%2014:43:37%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	(from http://www.attackplanner.com/)
14:39:09	101/101	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202012%2014:43:38%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from http://www.attackplanner.com/)
14:39:09	92793/92793	---M--	200	added ('OK')	text/javascript	date:Tue,%2004%20Sep%202012%2017:57:57%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.1/jquery.min.js	C:/.attackplanner/ajax.googleapis.com/ajax/libs/jquery/1.8.1/jquery.min.js	(from )
14:39:09	110/110	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202012%2014:43:37%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	(from http://www.attackplanner.com/)
14:39:09	111/111	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202012%2014:43:37%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	(from http://www.attackplanner.com/)
14:39:09	105/105	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202012%2014:43:37%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	(from http://www.attackplanner.com/)
14:39:10	120/120	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202012%2014:43:37%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	(from http://www.attackplanner.com/)
14:39:10	119/119	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202012%2014:43:38%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	(from http://www.attackplanner.com/)
14:39:10	4369/4369	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202012%2014:43:38%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-icons_222222_256x240.png	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-icons_222222_256x240.png	(from http://www.attackplanner.com/)
14:39:11	4369/4369	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202012%2014:43:38%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-icons_888888_256x240.png	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-icons_888888_256x240.png	(from http://www.attackplanner.com/)
14:39:11	4369/4369	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202012%2014:43:38%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-icons_454545_256x240.png	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-icons_454545_256x240.png	(from http://www.attackplanner.com/)
14:39:11	4369/4369	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202012%2014:43:38%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-icons_2e83ff_256x240.png	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-icons_2e83ff_256x240.png	(from http://www.attackplanner.com/)
14:39:11	4369/4369	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202012%2014:43:39%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-icons_cd0a0a_256x240.png	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-icons_cd0a0a_256x240.png	(from http://www.attackplanner.com/)
14:39:11	180/180	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Aug%202012%2014:43:36%20GMT	http://code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png	C:/.attackplanner/code.jquery.com/ui/1.8.23/themes/smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png	(from http://www.attackplanner.com/)
